CategoryName;SubcategoryName;English Description
Afþreying og frítími;Lotteries & Bets;
Heimilið;Electricity and Heating;
Heimilið;Sími og internet;
Matur;Matarinnkaup;
Bílar og samgöngur;Leigubílar, strætó, samgöngur;
Heimilið;Húsgögn, heimilistæki, innréttingar;
Bílar og samgöngur;Eldsneyti;
Verslun og þjónusta;Verslun og þjónusta (other);
Heimilið;Viðhald og rekstur heimilis;
Verslun og þjónusta;Áfengi;
Matur;Skyndibiti;
Sparnaður og fjárfestingar;Sparnaður og fjárfestingar (other);
Verslun og þjónusta;Sjónvarpsefni, bækur, tónlist o.þ.h.;
Bílar og samgöngur;Viðhald og rekstur bifreiða;
Afþreying og frítími;Félagsmál;
Tryggingar;Heimilistryggingar;
Heilsa og útlit;Lyf og lækningavörur;
Tryggingar;Bílatryggingar;
Frí og ferðalög;Samgöngur í fríi;
Verslun og þjónusta;Góðgerðarmál;
Heilsa og útlit;Líkamsrækt og íþróttir;
Bílar og samgöngur;Bílastæði;
Matur;Bakarí;
Börn;Skólagjöld og barnagæsla;
Heilsa og útlit;Læknar og tannlæknar;
Sektir, vanskil, neyslulán;Bankakostnaður og þjónustugjöld;
Heimilið;Gæludýr;
Matur;Sjoppur, ísbúðir, o.þ.h.;
Verslun og þjónusta;Póstur og burðargjöld;
Tekjur og atvinna;Tekjur og atvinna (other);
Verslun og þjónusta;Áskriftir og miðlun;
Sektir, vanskil, neyslulán;Sektir, vanskil, neyslulán (other);
Verslun og þjónusta;Fatnaður og fylgihlutir;
Menntun;Skólabækur, efni og ritföng;
Afþreying og frítími;Afþreying og frítími (other);
Menntun;Greidd námslán;
Afþreying og frítími;Bíó, leikhús, tónleikar o.þ.h.;
Afþreying og frítími;Skemmtanalíf og barir;
Sektir, vanskil, neyslulán;Neyslulán;
Verslun og þjónusta;Electronics, Computers & Software;
Matur;Mötuneyti;
Heimilið;Húsnæðislán;
Matur;Veitingastaðir;
Heimilið;Fasteignagjöld;
Óflokkuð útgjöld;Óflokkuð útgjöld (other);
Tryggingar;Líf og sjúkdómatryggingar;
Börn;Afþreying og tómstundir barna;
Heilsa og útlit;Hár og snyrting;
Óflokkuð útgjöld;Óflokkaðar peningaúttektir;
Frí og ferðalög;Afþreying og skemmtanir í fríi;
Verslun og þjónusta;Gjafir;
Frí og ferðalög;Hótel og gisting;
Heilsa og útlit;Snyrtivörur;
Tekjur og atvinna;Skattur (+ og -);
Matur;Kaffihús;
Bílar og samgöngur;Bílalán og rekstrarleiga;
Verslun og þjónusta;Listmunir, blóm, kerti og annað smálegt;
Menntun;Skóla- og námsskeiðsgjöld;
Börn;Barnaföt;
Exclude from budget;Innborgun á greiðslukort;
Bílar og samgöngur;Hjólreiðar;
Afþreying og frítími;Tónlist og hljóðfæri;
Sektir, vanskil, neyslulán;Sektir;
Verslun og þjónusta;Skartgripir;
Exclude from budget;Útlagt og endurgreitt;
Verslun og þjónusta;Tóbak;
Heimilið;Þrif;
Afþreying og frítími;Sumarbústaðurinn;
Verslun og þjónusta;Veislur og hátíðahöld;
Heilsa og útlit;Dekur;
Afþreying og frítími;Hannyrðir, föndur og listir;
Afþreying og frítími;Útivist;
Afþreying og frítími;Veiðar;
Afþreying og frítími;Golf;
Sparnaður og fjárfestingar;Reglulegur sparnaður;
Afþreying og frítími;Skíði og vetraríþróttir;
Tekjur og atvinna;Bætur;
Verslun og þjónusta;Fatahreinsun og viðgerðir;
Tekjur og atvinna;Útborguð laun;
